,batch,epoch,first_picks_top_1,first_picks_top_2,first_picks_top_3,loss,top1,top2,top3
1846,828,1,42.308273911476135,57.431650161743164,71.31891250610352,577.9432373046875,0.45816656947135925,0.6629815101623535,0.7870409488677979
1847,829,1,45.46944499015808,61.7856502532959,72.22864627838135,415.52215576171875,0.4508243203163147,0.6582973003387451,0.7820785641670227
1848,830,1,42.42410063743591,62.21674680709839,72.05786108970642,676.368408203125,0.4477749466896057,0.6607940793037415,0.789384126663208
1849,831,1,43.0713027715683,55.6723415851593,69.74685788154602,394.37493896484375,0.45829707384109497,0.663813054561615,0.7827332615852356
1850,832,1,41.35284423828125,58.22559595108032,70.88038325309753,664.5628662109375,0.45458170771598816,0.673621416091919,0.7962641716003418
1851,833,1,40.63222408294678,58.40202569961548,73.7695038318634,442.4869079589844,0.43720972537994385,0.656467616558075,0.7824839353561401
1852,834,1,38.17605972290039,54.43868637084961,64.62844014167786,542.4452514648438,0.4558781385421753,0.6686140298843384,0.7881600856781006
1853,835,1,38.10800909996033,56.5288245677948,69.41224336624146,611.8836669921875,0.44148075580596924,0.6543220281600952,0.7818422913551331
1854,836,1,34.652796387672424,55.44248819351196,69.33764815330505,466.6335754394531,0.44367659091949463,0.660885751247406,0.7814211845397949
1855,837,1,43.25509965419769,63.14961314201355,72.37209677696228,579.1103515625,0.4474688172340393,0.6565942168235779,0.7792240381240845
1856,838,1,41.948312520980835,61.61036491394043,70.73237299919128,531.34375,0.4569855332374573,0.6762150526046753,0.7908525466918945
1857,839,1,46.06423079967499,62.09551692008972,78.3638596534729,528.9566650390625,0.44310155510902405,0.6553113460540771,0.7808859348297119
1858,840,1,42.699337005615234,61.96344494819641,74.31331872940063,499.386962890625,0.4269164502620697,0.6492880582809448,0.7771693468093872
1859,841,1,41.91843271255493,63.761305809020996,74.82602000236511,512.9022216796875,0.4441070556640625,0.6763591170310974,0.8013139367103577
1860,842,1,40.133824944496155,59.055352210998535,69.25343871116638,659.161865234375,0.4493418335914612,0.659993052482605,0.7917625904083252
1861,843,1,46.042490005493164,61.91006302833557,74.76218342781067,339.6403503417969,0.4613354802131653,0.6714391112327576,0.7990049719810486
1862,844,1,42.492181062698364,61.91973090171814,75.11615753173828,603.296875,0.4475785493850708,0.6637460589408875,0.7897217273712158
